# Generated by PyFunceble (v4.0.2.dev) / https://git.io/vpZoI
# Date of generation: 2021-12-07T01:15:38.431317

Status      Percentage   Amount      
----------- ------------ ------------
ACTIVE      100%         17883       
INACTIVE    0%           29          
INVALID     0%           0           
ACTIVE      100%         17883       
INACTIVE    0%           29          
INVALID     0%           0           
ACTIVE      100%         32989       
INACTIVE    0%           98          
INVALID     0%           0           
ACTIVE      100%         48077       
INACTIVE    0%           195         
INVALID     0%           0           
ACTIVE      100%         63137       
INACTIVE    0%           211         
INVALID     0%           0           
ACTIVE      95%          109770      
INACTIVE    5%           5732        
INVALID     0%           0           
ACTIVE      95%          118186      
INACTIVE    5%           6588        
INVALID     0%           0           
