# Generated by PyFunceble (v4.0.2.dev) / https://git.io/vpZoI
# Date of generation: 2021-12-07T01:15:38.435169

Status      Percentage   Amount      
----------- ------------ ------------
ACTIVE      89%          84358       
INACTIVE    11%          10102       
INVALID     0%           1           
ACTIVE      90%          93140       
INACTIVE    11%          10102       
INVALID     0%           1           
ACTIVE      92%          120065      
INACTIVE    8%           10685       
INVALID     0%           2           
ACTIVE      93%          146997      
INACTIVE    7%           10733       
INVALID     0%           2           
