# Generated by PyFunceble (v4.0.2.dev) / https://git.io/vpZoI
# Date of generation: 2021-12-07T01:15:38.435714

Status      Percentage   Amount      
----------- ------------ ------------
ACTIVE      99%          6757        
INACTIVE    1%           55          
INVALID     0%           0           
ACTIVE      100%         13514       
INACTIVE    1%           55          
INVALID     0%           0           
ACTIVE      99%          20198       
INACTIVE    1%           109         
INVALID     0%           0           
ACTIVE      100%         26879       
INACTIVE    0%           121         
INVALID     0%           0           
