# Generated by PyFunceble (v4.0.2.dev) / https://git.io/vpZoI
# Date of generation: 2021-12-07T01:15:38.431916

Status      Percentage   Amount      
----------- ------------ ------------
ACTIVE      98%          2843        
INACTIVE    2%           65          
INVALID     0%           0           
ACTIVE      98%          2843        
INACTIVE    2%           65          
INVALID     0%           0           
ACTIVE      99%          16285       
INACTIVE    1%           142         
INVALID     0%           1           
ACTIVE      99%          29690       
INACTIVE    1%           230         
INVALID     0%           2           
ACTIVE      99%          43168       
INACTIVE    1%           247         
INVALID     0%           2           
