idna_subject,checker_type,destination,source,tested_at,session_id
bestgore.com,AVAILABILITY,snuff.list,submit_here/adult.mypdns.cloud/snuff.list,2001-09-21 00:41:14.495983,ca3abd8a1a4b66b9068ec1e4
goregrish.com,AVAILABILITY,snuff.list,submit_here/adult.mypdns.cloud/snuff.list,2001-09-21 00:41:14.507289,ca3abd8a1a4b66b9068ec1e4
horriblevideos.com,AVAILABILITY,snuff.list,submit_here/adult.mypdns.cloud/snuff.list,2001-09-21 00:41:14.518620,ca3abd8a1a4b66b9068ec1e4
kaotic.com,AVAILABILITY,snuff.list,submit_here/adult.mypdns.cloud/snuff.list,2001-09-21 00:41:14.529969,ca3abd8a1a4b66b9068ec1e4
leakreality.com,AVAILABILITY,snuff.list,submit_here/adult.mypdns.cloud/snuff.list,2001-09-21 00:41:14.541368,ca3abd8a1a4b66b9068ec1e4
miscopy.com,AVAILABILITY,snuff.list,submit_here/adult.mypdns.cloud/snuff.list,2001-09-21 00:41:14.552593,ca3abd8a1a4b66b9068ec1e4
theync.com,AVAILABILITY,snuff.list,submit_here/adult.mypdns.cloud/snuff.list,2001-09-21 00:41:14.563832,ca3abd8a1a4b66b9068ec1e4
www.goregrish.com,AVAILABILITY,snuff.list,submit_here/adult.mypdns.cloud/snuff.list,2001-09-21 00:41:14.574942,ca3abd8a1a4b66b9068ec1e4
www.horriblevideos.com,AVAILABILITY,snuff.list,submit_here/adult.mypdns.cloud/snuff.list,2001-09-21 00:41:14.586172,ca3abd8a1a4b66b9068ec1e4
goreforum.com,AVAILABILITY,snuff.list,submit_here/adult.mypdns.cloud/snuff.list,2001-09-21 00:41:14.597397,ca3abd8a1a4b66b9068ec1e4
www.miscopy.com,AVAILABILITY,snuff.list,submit_here/adult.mypdns.cloud/snuff.list,2001-09-21 00:41:14.608753,ca3abd8a1a4b66b9068ec1e4
recipepes.com,AVAILABILITY,snuff.list,submit_here/adult.mypdns.cloud/snuff.list,2001-09-21 00:41:14.620073,ca3abd8a1a4b66b9068ec1e4
