# Generated by PyFunceble (v4.0.2.dev) / https://git.io/vpZoI
# Date of generation: 2021-12-07T01:15:38.438401

Status      Percentage   Amount      
----------- ------------ ------------
ACTIVE      98%          46          
INACTIVE    14%          1           
INVALID     0%           0           
ACTIVE      99%          92          
INACTIVE    14%          1           
INVALID     0%           0           
ACTIVE      99%          182         
INACTIVE    14%          1           
INVALID     0%           0           
ACTIVE      100%         272         
INACTIVE    14%          1           
INVALID     0%           0           
