idna_subject,checker_type,destination,source,tested_at,session_id
shagmag.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.575693,bbe76c8e9dbfa206c142167f
4cdn.org,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.586455,bbe76c8e9dbfa206c142167f
4chan.org,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.597219,bbe76c8e9dbfa206c142167f
4channel.org,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.618547,bbe76c8e9dbfa206c142167f
55chan.org,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.629240,bbe76c8e9dbfa206c142167f
asian-kitties.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.639961,bbe76c8e9dbfa206c142167f
barebookclub.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.650664,bbe76c8e9dbfa206c142167f
deviantart.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.661554,bbe76c8e9dbfa206c142167f
erobodio.ru,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.672345,bbe76c8e9dbfa206c142167f
fastpic.ru,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.683132,bbe76c8e9dbfa206c142167f
hotnessrater.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.693971,bbe76c8e9dbfa206c142167f
imagetwist.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.704727,bbe76c8e9dbfa206c142167f
monova.org,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.715499,bbe76c8e9dbfa206c142167f
only-costumes.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.726333,bbe76c8e9dbfa206c142167f
only-opaques.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.737273,bbe76c8e9dbfa206c142167f
only-secretaries.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.748115,bbe76c8e9dbfa206c142167f
only-sportswear.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.759068,bbe76c8e9dbfa206c142167f
onlycarla.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.769928,bbe76c8e9dbfa206c142167f
onlymelanie.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.780748,bbe76c8e9dbfa206c142167f
onlysilkandsatin.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.791637,bbe76c8e9dbfa206c142167f
onlytease.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.802568,bbe76c8e9dbfa206c142167f
polonews.tw,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.813520,bbe76c8e9dbfa206c142167f
rapidgator.net,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.824498,bbe76c8e9dbfa206c142167f
streamtape.cc,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.835515,bbe76c8e9dbfa206c142167f
streamtape.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.846455,bbe76c8e9dbfa206c142167f
streamtape.net,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.857452,bbe76c8e9dbfa206c142167f
tapecontent.net,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.868493,bbe76c8e9dbfa206c142167f
thecandidbay.com,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.879592,bbe76c8e9dbfa206c142167f
uniondht.org,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.890670,bbe76c8e9dbfa206c142167f
upstream.to,AVAILABILITY,strict.wildcard.list,submit_here/strict.adult.mypdns.cloud/strict.wildcard.list,2001-07-20 10:27:11.901663,bbe76c8e9dbfa206c142167f
