# Generated by PyFunceble (v4.0.2.dev) / https://git.io/vpZoI
# Date of generation: 2021-12-07T01:15:38.437342

Status      Percentage   Amount      
----------- ------------ ------------
ACTIVE      100%         46          
INACTIVE    0%           0           
INVALID     0%           0           
ACTIVE      100%         92          
INACTIVE    0%           0           
INVALID     0%           0           
ACTIVE      100%         138         
INACTIVE    0%           0           
INVALID     0%           0           
ACTIVE      100%         184         
INACTIVE    0%           0           
INVALID     0%           0           
