# Generated by PyFunceble (v4.1.0b2.dev) / https://git.io/vpZoI
# Date of generation: 2021-12-21T06:32:40.461920

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
Tucows Domains Inc.            67%          6           
GoDaddy.com, LLC               11%          1           
Gransy, s.r.o.                 11%          1           
NameSilo, LLC                  11%          1           
Tucows Domains Inc.            60%          6           
GoDaddy.com, LLC               10%          1           
Gransy, s.r.o.                 10%          1           
NameSilo, LLC                  10%          1           
PCHOME                         10%          1           
