# Generated by PyFunceble (v4.0.2.dev) / https://git.io/vpZoI
# Date of generation: 2021-12-07T01:15:38.434091

Status      Percentage   Amount      
----------- ------------ ------------
ACTIVE      99%          582         
INACTIVE    1%           3           
INVALID     0%           0           
ACTIVE      99%          582         
INACTIVE    1%           3           
INVALID     0%           0           
ACTIVE      100%         4253        
INACTIVE    0%           6           
INVALID     0%           0           
ACTIVE      100%         7940        
INACTIVE    0%           12          
INVALID     0%           2           
